Category,ABNT_Section,ABNT_Name_PT,Proposed_Biblatex_EN,PT_Synonym_unaccented,EN_Synonyms_or_Subfields,Scope,Native,Notes,Decision_OK_or_Change
ENTRY,4.2.1.1,Monografia no todo (livro/folheto),book,livro,,CORE,std,"Collapses obras de 1/ate 3/+3 autores",
ENTRY,4.2.1.1,Trabalho academico (tese/dissertacao/TCC),thesis,tese,mastersthesis;phdthesis;dissertacao;tcc,CORE,std,"type preset via synonym; ABNT defense note",
ENTRY,4.2.1.3,Parte de monografia (capitulo - outro autor),incollection,partedelivro,capitulo,CORE,std,"In: + booktitle",
ENTRY,4.2.1.3,Parte de monografia (mesmo autor do todo),inbook,emlivro,,CORE,std,"part by the book author",
ENTRY,4.2.1.3,Verbete de enciclopedia/dicionario,inreference,verbete,,CORE,std,"with or without authorship",
ENTRY,4.2.3.4,Artigo de revista/boletim,article,artigo,,CORE,std,"journaltitle is the bold element",
ENTRY,4.2.3.6,Artigo/materia de jornal,article,artigodejornal,,CORE,std,"entrysubtype=newspaper; section/caderno",
ENTRY,4.2.4.1,Evento no todo (anais),proceedings,anais,,CORE,std,"event name CAPS; Anais bold",
ENTRY,4.2.4.5,Trabalho apresentado em evento,inproceedings,trabalhodeevento,,CORE,std,"In: EVENT NAME",
ENTRY,4.2.3.1,Periodico no todo,periodical,periodico,,CORE,std,"enters by title CAPS; ISSN",
ENTRY,4.2.2,Correspondencia (carta/bilhete/cartao),letter,correspondencia,carta,DEFER,std,"uses recipient field",
ENTRY,4.2.3.3,Fasciculo sem titulo proprio,suppperiodical,fasciculo,,DEFER,std,"",
ENTRY,4.2.4.4,Trabalho apenas apresentado (nao publicado),unpublished,trabalhoapresentado,,DEFER,std,"not in proceedings",
ENTRY,4.2.5,Patente,patent,patente,,DEFER,std,"holder/agent/deposit dates",
ENTRY,4.2.6.1,Legislacao,legislation,legislacao,,DEFER,new,"jurisdiction entry by entity",
ENTRY,4.2.6.2,Jurisprudencia (decisao judicial),jurisdiction,jurisprudencia,,DEFER,new,"court decisions",
ENTRY,4.2.6.3,Ato administrativo normativo,legislation,atonormativo,,DEFER,new,"portarias/resolucoes",
ENTRY,4.2.8,Documento civil/cartorio,legal,documentocivil,,DEFER,new,"certidoes/escrituras",
ENTRY,4.2.9,Documento audiovisual,video,audiovisual,,DEFER,new,"film/TV/video",
ENTRY,4.2.10,Partitura,music,partitura,,DEFER,new,"musical score",
ENTRY,4.2.11,Documento iconografico,image,iconografico,,DEFER,new,"photo/drawing/print",
